2026-09-06T22:00:41.083448404Z Global sink: log
2026-09-06T22:00:41.083492848Z Avvio Global Aggregator
2026-09-06T22:00:41.083499778Z Kafka broker: kafka:29092
2026-09-06T22:00:41.083503572Z Input topic: cloud-edge-aggregates
2026-09-06T22:00:41.083506667Z Consumer group: global-aggregator
2026-09-06T22:00:41.083509463Z Global window: 15m0s
2026-09-06T22:00:41.083512628Z Watermark delay: 15m0s
2026-09-06T22:00:41.083515594Z Edge idle timeout: 5s
2026-09-06T22:00:41.083518550Z Expected Edge: edge-0,edge-1,edge-2,edge-3,edge-4,edge-5,edge-6,edge-7,edge-8,edge-9,edge-10,edge-11,edge-12
2026-09-06T22:00:41.083521885Z 
2026-09-06T22:01:13.525904311Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:00:00Z:2025-01-01T01:15:00Z","window_start":"2025-01-01T01:00:00Z","window_end":"2025-01-01T01:15:00Z","expected_edges":13,"contributing_edges":13,"events":209,"temperature":{"valid":196,"invalid":13,"sum":870.7687498470001,"average":4.442697703301021,"min":-6.05,"max":28.08},"humidity":{"valid":203,"invalid":6,"sum":16007.143826590003,"average":78.85292525413794,"min":5.67,"max":100},"pressure":{"valid":204,"invalid":5,"sum":19837628.95782,"average":97243.27920499998,"min":46080.78,"max":103146.88},"emitted_at":"2026-09-06T22:01:13.52565278Z"}
2026-09-06T22:01:13.759473160Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:15:00Z:2025-01-01T01:30:00Z","window_start":"2025-01-01T01:15:00Z","window_end":"2025-01-01T01:30:00Z","expected_edges":13,"contributing_edges":13,"events":793,"temperature":{"valid":748,"invalid":45,"sum":3264.36398405,"average":4.364122973328877,"min":-6.06,"max":29.23},"humidity":{"valid":774,"invalid":19,"sum":60577.2276892,"average":78.26515205322997,"min":5.48,"max":100},"pressure":{"valid":778,"invalid":15,"sum":75629540.67281,"average":97210.20652032134,"min":46049.78,"max":103156.63},"emitted_at":"2026-09-06T22:01:13.759330287Z"}
2026-09-06T22:01:13.816755688Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:30:00Z:2025-01-01T01:45:00Z","window_start":"2025-01-01T01:30:00Z","window_end":"2025-01-01T01:45:00Z","expected_edges":13,"contributing_edges":13,"events":809,"temperature":{"valid":764,"invalid":45,"sum":3364.56960989,"average":4.40388692393979,"min":-6.02,"max":29.14},"humidity":{"valid":789,"invalid":20,"sum":61735.896869669996,"average":78.245750151673,"min":5.63,"max":100},"pressure":{"valid":794,"invalid":15,"sum":77235127.60782,"average":97273.46046324937,"min":46045.91,"max":103154.63},"emitted_at":"2026-09-06T22:01:13.816669675Z"}
2026-09-06T22:01:13.837654809Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:45:00Z:2025-01-01T02:00:00Z","window_start":"2025-01-01T01:45:00Z","window_end":"2025-01-01T02:00:00Z","expected_edges":13,"contributing_edges":13,"events":800,"temperature":{"valid":754,"invalid":46,"sum":3335.3499611849993,"average":4.423541062579575,"min":-5.98,"max":27.79},"humidity":{"valid":779,"invalid":21,"sum":60924.50050167999,"average":78.20860141422335,"min":6.81,"max":100},"pressure":{"valid":785,"invalid":15,"sum":76265268.51127002,"average":97153.20829461148,"min":46026.53,"max":103141.81},"emitted_at":"2026-09-06T22:01:13.837551199Z"}
2026-09-06T22:01:13.912599123Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:00:00Z:2025-01-01T02:15:00Z","window_start":"2025-01-01T02:00:00Z","window_end":"2025-01-01T02:15:00Z","expected_edges":13,"contributing_edges":13,"events":800,"temperature":{"valid":754,"invalid":46,"sum":3303.2330863570005,"average":4.380945737874006,"min":-5.93,"max":26.87},"humidity":{"valid":781,"invalid":19,"sum":61114.59983839999,"average":78.25172834622278,"min":7.54,"max":100},"pressure":{"valid":785,"invalid":15,"sum":76316598.28033,"average":97218.59653545223,"min":46049.78,"max":103141.69},"emitted_at":"2026-09-06T22:01:13.912504231Z"}
2026-09-06T22:01:14.191375327Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:15:00Z:2025-01-01T02:30:00Z","window_start":"2025-01-01T02:15:00Z","window_end":"2025-01-01T02:30:00Z","expected_edges":13,"contributing_edges":13,"events":803,"temperature":{"valid":757,"invalid":46,"sum":3314.348398114,"average":4.378267368710699,"min":-5.9,"max":27.83},"humidity":{"valid":784,"invalid":19,"sum":61248.47534545,"average":78.12305528756377,"min":6.17,"max":100},"pressure":{"valid":787,"invalid":16,"sum":76517504.40844999,"average":97226.81627503176,"min":46049.78,"max":103144.16},"emitted_at":"2026-09-06T22:01:14.19124073Z"}
2026-09-06T22:01:14.266878723Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:30:00Z:2025-01-01T02:45:00Z","window_start":"2025-01-01T02:30:00Z","window_end":"2025-01-01T02:45:00Z","expected_edges":13,"contributing_edges":13,"events":809,"temperature":{"valid":762,"invalid":47,"sum":3321.4324999409996,"average":4.358835301759842,"min":-5.84,"max":29.1},"humidity":{"valid":789,"invalid":20,"sum":61783.055229030004,"average":78.30551993539925,"min":5.34,"max":100},"pressure":{"valid":794,"invalid":15,"sum":77131064.5347,"average":97142.39865831235,"min":46053.66,"max":103145.91},"emitted_at":"2026-09-06T22:01:14.266747275Z"}
2026-09-06T22:01:14.802467846Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:45:00Z:2025-01-01T03:00:00Z","window_start":"2025-01-01T02:45:00Z","window_end":"2025-01-01T03:00:00Z","expected_edges":13,"contributing_edges":13,"events":804,"temperature":{"valid":759,"invalid":45,"sum":3257.0271484949994,"average":4.291208364288537,"min":-5.89,"max":29.13},"humidity":{"valid":785,"invalid":19,"sum":61474.764212630005,"average":78.3118015447516,"min":5.89,"max":100},"pressure":{"valid":789,"invalid":15,"sum":76701219.40221001,"average":97213.20583296579,"min":46036.22,"max":103132.69},"emitted_at":"2026-09-06T22:01:14.802164894Z"}
2026-09-06T22:01:14.985056092Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T03:00:00Z:2025-01-01T03:15:00Z","window_start":"2025-01-01T03:00:00Z","window_end":"2025-01-01T03:15:00Z","expected_edges":13,"contributing_edges":13,"events":795,"temperature":{"valid":749,"invalid":46,"sum":3261.7489455409996,"average":4.354805000722296,"min":-6.05,"max":28.34},"humidity":{"valid":778,"invalid":17,"sum":60680.74854933,"average":77.99582075749358,"min":5.79,"max":100},"pressure":{"valid":780,"invalid":15,"sum":75728384.49813,"average":97087.67243349999,"min":46049.78,"max":103132.41},"emitted_at":"2026-09-06T22:01:14.984887403Z"}
2026-09-06T22:01:15.248243017Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T03:15:00Z:2025-01-01T03:30:00Z","window_start":"2025-01-01T03:15:00Z","window_end":"2025-01-01T03:30:00Z","expected_edges":13,"contributing_edges":13,"events":803,"temperature":{"valid":757,"invalid":46,"sum":3211.830430031,"average":4.242840726593131,"min":-6.15,"max":29},"humidity":{"valid":782,"invalid":21,"sum":61092.50647828001,"average":78.12340981877239,"min":5.34,"max":100},"pressure":{"valid":787,"invalid":16,"sum":76451624.24657,"average":97143.10577709023,"min":46053.66,"max":103115.75},"emitted_at":"2026-09-06T22:01:15.247921977Z"}
2026-09-06T22:01:15.363719313Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T03:30:00Z:2025-01-01T03:45:00Z","window_start":"2025-01-01T03:30:00Z","window_end":"2025-01-01T03:45:00Z","expected_edges":13,"contributing_edges":13,"events":796,"temperature":{"valid":750,"invalid":46,"sum":3180.245508232,"average":4.240327344309333,"min":-6.32,"max":29.87},"humidity":{"valid":776,"invalid":20,"sum":60785.047807159994,"average":78.33124717417525,"min":4.99,"max":100},"pressure":{"valid":781,"invalid":15,"sum":75866891.39562999,"average":97140.70601233032,"min":46053.66,"max":103119.28},"emitted_at":"2026-09-06T22:01:15.363560593Z"}
