2026-09-06T21:57:12.607554631Z Global sink: log
2026-09-06T21:57:12.607591956Z Avvio Global Aggregator
2026-09-06T21:57:12.607616276Z Kafka broker: kafka:29092
2026-09-06T21:57:12.607628342Z Input topic: cloud-edge-aggregates
2026-09-06T21:57:12.607654221Z Consumer group: global-aggregator
2026-09-06T21:57:12.607700543Z Global window: 15m0s
2026-09-06T21:57:12.607710639Z Watermark delay: 15m0s
2026-09-06T21:57:12.607761389Z Edge idle timeout: 5s
2026-09-06T21:57:12.607779422Z Expected Edge: edge-0,edge-1,edge-2,edge-3,edge-4,edge-5,edge-6,edge-7,edge-8,edge-9,edge-10,edge-11,edge-12
2026-09-06T21:57:12.607784510Z 
2026-09-06T21:57:46.032461453Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:00:00Z:2025-01-01T01:15:00Z","window_start":"2025-01-01T01:00:00Z","window_end":"2025-01-01T01:15:00Z","expected_edges":13,"contributing_edges":13,"events":209,"temperature":{"valid":196,"invalid":13,"sum":870.768749847,"average":4.44269770330102,"min":-6.05,"max":28.08},"humidity":{"valid":203,"invalid":6,"sum":16007.143826590001,"average":78.85292525413794,"min":5.67,"max":100},"pressure":{"valid":204,"invalid":5,"sum":19837628.957820002,"average":97243.27920500001,"min":46080.78,"max":103146.88},"emitted_at":"2026-09-06T21:57:46.032182754Z"}
2026-09-06T21:57:46.079335779Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:15:00Z:2025-01-01T01:30:00Z","window_start":"2025-01-01T01:15:00Z","window_end":"2025-01-01T01:30:00Z","expected_edges":13,"contributing_edges":13,"events":793,"temperature":{"valid":748,"invalid":45,"sum":3264.36398405,"average":4.364122973328877,"min":-6.06,"max":29.23},"humidity":{"valid":774,"invalid":19,"sum":60577.2276892,"average":78.26515205322997,"min":5.48,"max":100},"pressure":{"valid":778,"invalid":15,"sum":75629540.67281,"average":97210.20652032134,"min":46049.78,"max":103156.63},"emitted_at":"2026-09-06T21:57:46.079149497Z"}
2026-09-06T21:57:46.492667716Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:30:00Z:2025-01-01T01:45:00Z","window_start":"2025-01-01T01:30:00Z","window_end":"2025-01-01T01:45:00Z","expected_edges":13,"contributing_edges":13,"events":809,"temperature":{"valid":764,"invalid":45,"sum":3364.56960989,"average":4.40388692393979,"min":-6.02,"max":29.14},"humidity":{"valid":789,"invalid":20,"sum":61735.89686967,"average":78.24575015167301,"min":5.63,"max":100},"pressure":{"valid":794,"invalid":15,"sum":77235127.60782,"average":97273.46046324937,"min":46045.91,"max":103154.63},"emitted_at":"2026-09-06T21:57:46.492557151Z"}
2026-09-06T21:57:46.885826599Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T01:45:00Z:2025-01-01T02:00:00Z","window_start":"2025-01-01T01:45:00Z","window_end":"2025-01-01T02:00:00Z","expected_edges":13,"contributing_edges":13,"events":800,"temperature":{"valid":754,"invalid":46,"sum":3335.3499611849998,"average":4.4235410625795755,"min":-5.98,"max":27.79},"humidity":{"valid":779,"invalid":21,"sum":60924.500501680006,"average":78.20860141422337,"min":6.81,"max":100},"pressure":{"valid":785,"invalid":15,"sum":76265268.51127,"average":97153.20829461147,"min":46026.53,"max":103141.81},"emitted_at":"2026-09-06T21:57:46.885681332Z"}
2026-09-06T21:57:46.992081025Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:00:00Z:2025-01-01T02:15:00Z","window_start":"2025-01-01T02:00:00Z","window_end":"2025-01-01T02:15:00Z","expected_edges":13,"contributing_edges":13,"events":800,"temperature":{"valid":754,"invalid":46,"sum":3303.2330863570005,"average":4.380945737874006,"min":-5.93,"max":26.87},"humidity":{"valid":781,"invalid":19,"sum":61114.5998384,"average":78.25172834622279,"min":7.54,"max":100},"pressure":{"valid":785,"invalid":15,"sum":76316598.28033,"average":97218.59653545223,"min":46049.78,"max":103141.69},"emitted_at":"2026-09-06T21:57:46.991944822Z"}
2026-09-06T21:57:47.125050908Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:15:00Z:2025-01-01T02:30:00Z","window_start":"2025-01-01T02:15:00Z","window_end":"2025-01-01T02:30:00Z","expected_edges":13,"contributing_edges":13,"events":803,"temperature":{"valid":757,"invalid":46,"sum":3314.3483981140002,"average":4.3782673687107,"min":-5.9,"max":27.83},"humidity":{"valid":784,"invalid":19,"sum":61248.47534545,"average":78.12305528756377,"min":6.17,"max":100},"pressure":{"valid":787,"invalid":16,"sum":76517504.40845,"average":97226.81627503177,"min":46049.78,"max":103144.16},"emitted_at":"2026-09-06T21:57:47.124941408Z"}
2026-09-06T21:57:47.407909607Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:30:00Z:2025-01-01T02:45:00Z","window_start":"2025-01-01T02:30:00Z","window_end":"2025-01-01T02:45:00Z","expected_edges":13,"contributing_edges":13,"events":809,"temperature":{"valid":762,"invalid":47,"sum":3321.432499941,"average":4.358835301759843,"min":-5.84,"max":29.1},"humidity":{"valid":789,"invalid":20,"sum":61783.055229030004,"average":78.30551993539925,"min":5.34,"max":100},"pressure":{"valid":794,"invalid":15,"sum":77131064.5347,"average":97142.39865831235,"min":46053.66,"max":103145.91},"emitted_at":"2026-09-06T21:57:47.407732691Z"}
2026-09-06T21:57:47.540848717Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T02:45:00Z:2025-01-01T03:00:00Z","window_start":"2025-01-01T02:45:00Z","window_end":"2025-01-01T03:00:00Z","expected_edges":13,"contributing_edges":13,"events":804,"temperature":{"valid":759,"invalid":45,"sum":3257.0271484950003,"average":4.291208364288538,"min":-5.89,"max":29.13},"humidity":{"valid":785,"invalid":19,"sum":61474.76421263,"average":78.31180154475159,"min":5.89,"max":100},"pressure":{"valid":789,"invalid":15,"sum":76701219.40221,"average":97213.20583296577,"min":46036.22,"max":103132.69},"emitted_at":"2026-09-06T21:57:47.540760816Z"}
2026-09-06T21:57:47.784378299Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T03:00:00Z:2025-01-01T03:15:00Z","window_start":"2025-01-01T03:00:00Z","window_end":"2025-01-01T03:15:00Z","expected_edges":13,"contributing_edges":13,"events":795,"temperature":{"valid":749,"invalid":46,"sum":3261.7489455409996,"average":4.354805000722296,"min":-6.05,"max":28.34},"humidity":{"valid":778,"invalid":17,"sum":60680.74854932999,"average":77.99582075749356,"min":5.79,"max":100},"pressure":{"valid":780,"invalid":15,"sum":75728384.49812998,"average":97087.67243349997,"min":46049.78,"max":103132.41},"emitted_at":"2026-09-06T21:57:47.784282067Z"}
2026-09-06T21:57:47.978523293Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T03:15:00Z:2025-01-01T03:30:00Z","window_start":"2025-01-01T03:15:00Z","window_end":"2025-01-01T03:30:00Z","expected_edges":13,"contributing_edges":13,"events":803,"temperature":{"valid":757,"invalid":46,"sum":3211.830430031,"average":4.242840726593131,"min":-6.15,"max":29},"humidity":{"valid":782,"invalid":21,"sum":61092.50647828,"average":78.12340981877237,"min":5.34,"max":100},"pressure":{"valid":787,"invalid":16,"sum":76451624.24657,"average":97143.10577709023,"min":46053.66,"max":103115.75},"emitted_at":"2026-09-06T21:57:47.978431279Z"}
2026-09-06T21:57:48.282297270Z GLOBAL_AGGREGATE {"aggregate_id":"global:2025-01-01T03:30:00Z:2025-01-01T03:45:00Z","window_start":"2025-01-01T03:30:00Z","window_end":"2025-01-01T03:45:00Z","expected_edges":13,"contributing_edges":13,"events":796,"temperature":{"valid":750,"invalid":46,"sum":3180.2455082320002,"average":4.240327344309334,"min":-6.32,"max":29.87},"humidity":{"valid":776,"invalid":20,"sum":60785.04780716,"average":78.33124717417526,"min":4.99,"max":100},"pressure":{"valid":781,"invalid":15,"sum":75866891.39563,"average":97140.70601233035,"min":46053.66,"max":103119.28},"emitted_at":"2026-09-06T21:57:48.282143527Z"}
